x,y,value
0.00000,0.00000,0.94269
0.10000,0.00000,0.94243
0.20000,0.00000,0.94194
0.30000,0.00000,0.94124
0.40000,0.00000,0.94037
0.50000,0.00000,0.93939
0.60000,0.00000,0.93831
0.70000,0.00000,0.93722
0.80000,0.00000,0.93615
0.90000,0.00000,0.93513
1.00000,0.00000,0.93422
1.10000,0.00000,0.93342
1.20000,0.00000,0.93277
1.30000,0.00000,0.93228
1.40000,0.00000,0.93198
1.50000,0.00000,0.93188
1.60000,0.00000,0.93198
1.70000,0.00000,0.93228
1.80000,0.00000,0.93279
1.90000,0.00000,0.93351
2.00000,0.00000,0.93442
2.10000,0.00000,0.93553
2.20000,0.00000,0.93682
2.30000,0.00000,0.93825
2.39000,0.00000,0.93984
2.49000,0.00000,0.94152
2.59000,0.00000,0.94331
2.69000,0.00000,0.94515
2.79000,0.00000,0.94701
2.89000,0.00000,0.94887
2.99000,0.00000,0.95068
3.09000,0.00000,0.95242
3.19000,0.00000,0.95405
3.29000,0.00000,0.95558
3.39000,0.00000,0.95700
3.49000,0.00000,0.95830
3.59000,0.00000,0.95951
3.69000,0.00000,0.96065
3.79000,0.00000,0.96178
3.89000,0.00000,0.96292
3.99000,0.00000,0.96415
4.09000,0.00000,0.96553
4.19000,0.00000,0.96718
4.29000,0.00000,0.96928
4.39000,0.00000,0.97169
4.49000,0.00000,0.96462
4.59000,0.00000,0.91511
4.69000,0.00000,0.80555
4.79000,0.00000,0.64561
4.89000,0.00000,0.45201
4.99000,0.00000,0.24468
5.09000,0.00000,0.24467
5.19000,0.00000,0.24465
5.29000,0.00000,0.24464
5.39000,0.00000,0.24463
5.49000,0.00000,0.24461
5.59000,0.00000,0.24460
5.69000,0.00000,0.24458
5.79000,0.00000,0.24455
5.89000,0.00000,0.24452
5.99000,0.00000,0.24450
6.09000,0.00000,0.24447
6.19000,0.00000,0.24445
6.29000,0.00000,0.24443
6.39000,0.00000,0.24442
6.49000,0.00000,0.24443
6.59000,0.00000,0.24445
6.69000,0.00000,0.24448
6.79000,0.00000,0.24452
6.89000,0.00000,0.24458
6.99000,0.00000,0.24466
7.09000,0.00000,0.24475
7.19000,0.00000,0.24485
7.29000,0.00000,0.24497
7.39000,0.00000,0.24511
7.49000,0.00000,0.24525
7.59000,0.00000,0.24540
7.69000,0.00000,0.24554
7.79000,0.00000,0.24569
7.89000,0.00000,0.24583
7.99000,0.00000,0.24596
8.09000,0.00000,0.24608
8.19000,0.00000,0.24618
8.29000,0.00000,0.24626
8.39000,0.00000,0.24631
8.49000,0.00000,0.24635
8.59000,0.00000,0.24637
