,time,N,TD,CH
126,1.26000,1.19003,10.07635,0.07321
127,1.27000,1.19898,10.07754,0.07433
128,1.28000,1.20793,10.07874,0.07546
129,1.29000,1.21688,10.07996,0.07660
130,1.30000,1.22581,10.08118,0.07774
131,1.31000,1.23474,10.08241,0.07889
132,1.32000,1.24367,10.08365,0.08005
133,1.33000,1.25258,10.08490,0.08122
134,1.34000,1.26149,10.08615,0.08239
135,1.35000,1.27040,10.08742,0.08358
136,1.36000,1.27929,10.08869,0.08477
137,1.37000,1.28818,10.08998,0.08597
138,1.38000,1.29707,10.09127,0.08717
139,1.39000,1.30595,10.09257,0.08839
140,1.40000,1.31482,10.09388,0.08961
141,1.41000,1.32368,10.09520,0.09084
142,1.42000,1.33254,10.09653,0.09207
143,1.43000,1.34140,10.09787,0.09332
144,1.44000,1.35024,10.09921,0.09457
145,1.45000,1.35908,10.10057,0.09583
146,1.46000,1.36792,10.10193,0.09710
147,1.47000,1.37675,10.10330,0.09837
148,1.48000,1.38557,10.10468,0.09965
149,1.49000,1.39438,10.10607,0.10094
150,1.50000,1.40319,10.10747,0.10224
151,1.51000,1.41200,10.10888,0.10354
152,1.52000,1.42079,10.11030,0.10486
153,1.53000,1.42959,10.11172,0.10618
154,1.54000,1.43837,10.11316,0.10750
155,1.55000,1.44715,10.11460,0.10884
156,1.56000,1.45592,10.11605,0.11018
157,1.57000,1.46469,10.11751,0.11153
158,1.58000,1.47345,10.11898,0.11289
159,1.59000,1.48221,10.12046,0.11425
160,1.60000,1.49096,10.12194,0.11562
161,1.61000,1.49970,10.12344,0.11700
162,1.62000,1.50844,10.12494,0.11839
163,1.63000,1.51717,10.12646,0.11978
164,1.64000,1.52590,10.12798,0.12118
165,1.65000,1.53462,10.12951,0.12259
166,1.66000,1.54333,10.13105,0.12401
167,1.67000,1.55204,10.13259,0.12543
168,1.68000,1.56074,10.13415,0.12686
169,1.69000,1.56944,10.13572,0.12830
170,1.70000,1.57813,10.13729,0.12974
171,1.71000,1.58682,10.13887,0.13119
172,1.72000,1.59550,10.14046,0.13265
173,1.73000,1.60417,10.14206,0.13412
174,1.74000,1.61284,10.14367,0.13559
175,1.75000,1.62151,10.14529,0.13707
176,1.76000,1.63017,10.14691,0.13856
177,1.77000,1.63882,10.14855,0.14006
178,1.78000,1.64746,10.15019,0.14156
179,1.79000,1.65611,10.15184,0.14307
180,1.80000,1.66474,10.15350,0.14458
181,1.81000,1.67337,10.15517,0.14611
182,1.82000,1.68200,10.15685,0.14764
183,1.83000,1.69062,10.15854,0.14918
184,1.84000,1.69923,10.16023,0.15072
185,1.85000,1.70784,10.16194,0.15227
186,1.86000,1.71644,10.16365,0.15383
187,1.87000,1.72504,10.16537,0.15540
188,1.88000,1.73364,10.16710,0.15697
189,1.89000,1.74222,10.16884,0.15855
190,1.90000,1.75081,10.17058,0.16014
191,1.91000,1.75938,10.17234,0.16173
192,1.92000,1.76796,10.17410,0.16334
193,1.93000,1.77652,10.17587,0.16494
194,1.94000,1.78508,10.17765,0.16656
195,1.95000,1.79364,10.17944,0.16818
196,1.96000,1.80219,10.18124,0.16981
197,1.97000,1.81074,10.18305,0.17145
198,1.98000,1.81928,10.18486,0.17309
199,1.99000,1.82782,10.18669,0.17474
200,2.00000,1.83635,10.18852,0.17639
201,2.01000,1.84487,10.19036,0.17806
202,2.02000,1.85339,10.19221,0.17973
203,2.03000,1.86191,10.19407,0.18140
204,2.04000,1.87042,10.19593,0.18309
205,2.05000,1.87893,10.19781,0.18478
206,2.06000,1.88743,10.19969,0.18648
207,2.07000,1.89593,10.20158,0.18818
208,2.08000,1.90442,10.20348,0.18989
209,2.09000,1.91290,10.20539,0.19161
210,2.10000,1.92138,10.20731,0.19334
211,2.11000,1.92986,10.20923,0.19507
212,2.12000,1.93833,10.21117,0.19680
213,2.13000,1.94680,10.21311,0.19855
214,2.14000,1.95526,10.21506,0.20030
215,2.15000,1.96372,10.21702,0.20206
216,2.16000,1.97217,10.21899,0.20382
217,2.17000,1.98062,10.22096,0.20560
218,2.18000,1.98907,10.22295,0.20737
219,2.19000,1.99751,10.22494,0.20916
220,2.20000,2.00594,10.22694,0.21095
221,2.21000,2.01437,10.22895,0.21275
222,2.22000,2.02279,10.23097,0.21455
223,2.23000,2.03121,10.23300,0.21637
224,2.24000,2.03963,10.23504,0.21818
225,2.25000,2.04804,10.23708,0.22001
226,2.26000,2.05645,10.23913,0.22184
227,2.27000,2.06485,10.24119,0.22368
228,2.28000,2.07325,10.24326,0.22552
229,2.29000,2.08164,10.24534,0.22737
230,2.30000,2.09003,10.24742,0.22923
231,2.31000,2.09841,10.24952,0.23110
232,2.32000,2.10679,10.25162,0.23297
233,2.33000,2.11517,10.25373,0.23484
234,2.34000,2.12354,10.25585,0.23673
235,2.35000,2.13191,10.25798,0.23862
236,2.36000,2.14027,10.26012,0.24051
237,2.37000,2.14863,10.26226,0.24242
238,2.38000,2.15698,10.26441,0.24433
239,2.39000,2.16533,10.26657,0.24624
240,2.40000,2.17368,10.26874,0.24816
241,2.41000,2.18202,10.27092,0.25009
242,2.42000,2.19036,10.27311,0.25203
243,2.43000,2.19869,10.27530,0.25397
244,2.44000,2.20702,10.27751,0.25592
245,2.45000,2.21534,10.27972,0.25787
246,2.46000,2.22366,10.28194,0.25983
247,2.47000,2.23198,10.28416,0.26180
248,2.48000,2.24029,10.28640,0.26377
249,2.49000,2.24860,10.28864,0.26575
250,2.50000,2.25690,10.29090,0.26774
251,2.51000,2.26520,10.29316,0.26973
252,2.52000,2.27350,10.29543,0.27173
253,2.53000,2.28179,10.29770,0.27373
254,2.54000,2.29008,10.29999,0.27574
255,2.55000,2.29836,10.30229,0.27776
256,2.56000,2.30664,10.30459,0.27979
257,2.57000,2.31492,10.30690,0.28182
258,2.58000,2.32319,10.30922,0.28385
259,2.59000,2.33146,10.31154,0.28589
260,2.60000,2.33972,10.31388,0.28794
261,2.61000,2.34798,10.31622,0.29000
262,2.62000,2.35624,10.31858,0.29206
263,2.63000,2.36449,10.32094,0.29413
264,2.64000,2.37274,10.32331,0.29620
265,2.65000,2.38098,10.32568,0.29828
266,2.66000,2.38922,10.32807,0.30037
267,2.67000,2.39746,10.33046,0.30246
268,2.68000,2.40569,10.33286,0.30456
269,2.69000,2.41392,10.33527,0.30666
270,2.70000,2.42215,10.33769,0.30877
271,2.71000,2.43037,10.34012,0.31089
272,2.72000,2.43859,10.34255,0.31301
273,2.73000,2.44681,10.34499,0.31514
274,2.74000,2.45502,10.34744,0.31727
275,2.75000,2.46323,10.34990,0.31941
276,2.76000,2.47143,10.35237,0.32156
277,2.77000,2.47963,10.35485,0.32371
278,2.78000,2.48783,10.35733,0.32587
279,2.79000,2.49602,10.35982,0.32804
280,2.80000,2.50421,10.36232,0.33021
281,2.81000,2.51240,10.36483,0.33238
282,2.82000,2.52058,10.36735,0.33457
283,2.83000,2.52876,10.36987,0.33676
284,2.84000,2.53694,10.37240,0.33895
285,2.85000,2.54511,10.37495,0.34115
286,2.86000,2.55328,10.37749,0.34336
287,2.87000,2.56144,10.38005,0.34557
288,2.88000,2.56961,10.38262,0.34779
289,2.89000,2.57777,10.38519,0.35002
290,2.90000,2.58592,10.38777,0.35225
291,2.91000,2.59407,10.39036,0.35448
292,2.92000,2.60222,10.39296,0.35673
293,2.93000,2.61037,10.39557,0.35897
294,2.94000,2.61851,10.39818,0.36123
295,2.95000,2.62665,10.40080,0.36349
296,2.96000,2.63479,10.40344,0.36576
297,2.97000,2.64292,10.40607,0.36803
298,2.98000,2.65105,10.40872,0.37031
299,2.99000,2.65918,10.41138,0.37259
300,3.00000,2.66730,10.41404,0.37488
301,3.01000,2.67542,10.41671,0.37717
302,3.02000,2.68354,10.41939,0.37947
303,3.03000,2.69165,10.42208,0.38178
304,3.04000,2.69976,10.42477,0.38409
305,3.05000,2.70787,10.42748,0.38641
306,3.06000,2.71597,10.43019,0.38874
307,3.07000,2.72407,10.43291,0.39107
308,3.08000,2.73217,10.43564,0.39340
309,3.09000,2.74027,10.43837,0.39575
310,3.10000,2.74836,10.44112,0.39809
311,3.11000,2.75645,10.44387,0.40045
312,3.12000,2.76454,10.44663,0.40280
313,3.13000,2.77262,10.44940,0.40517
314,3.14000,2.78070,10.45218,0.40754
315,3.15000,2.78878,10.45496,0.40992
316,3.16000,2.79685,10.45775,0.41230
317,3.17000,2.80492,10.46055,0.41468
318,3.18000,2.81299,10.46336,0.41708
319,3.19000,2.82106,10.46618,0.41948
320,3.20000,2.82912,10.46901,0.42188
321,3.21000,2.83718,10.47184,0.42429
322,3.22000,2.84524,10.47468,0.42671
323,3.23000,2.85329,10.47753,0.42913
324,3.24000,2.86135,10.48039,0.43155
325,3.25000,2.86940,10.48325,0.43399
326,3.26000,2.87744,10.48613,0.43643
327,3.27000,2.88549,10.48901,0.43887
328,3.28000,2.89353,10.49190,0.44132
329,3.29000,2.90157,10.49479,0.44377
330,3.30000,2.90960,10.49770,0.44623
331,3.31000,2.91763,10.50061,0.44870
332,3.32000,2.92566,10.50353,0.45117
333,3.33000,2.93369,10.50646,0.45365
334,3.34000,2.94172,10.50940,0.45613
335,3.35000,2.94974,10.51235,0.45862
336,3.36000,2.95776,10.51530,0.46111
337,3.37000,2.96578,10.51826,0.46361
338,3.38000,2.97379,10.52123,0.46612
339,3.39000,2.98180,10.52421,0.46863
340,3.40000,2.98981,10.52720,0.47115
341,3.41000,2.99782,10.53019,0.47367
342,3.42000,3.00583,10.53319,0.47619
343,3.43000,3.01383,10.53620,0.47873
344,3.44000,3.02183,10.53922,0.48126
345,3.45000,3.02983,10.54225,0.48381
346,3.46000,3.03782,10.54528,0.48636
347,3.47000,3.04581,10.54832,0.48891
348,3.48000,3.05380,10.55137,0.49147
349,3.49000,3.06179,10.55443,0.49403
350,3.50000,3.06978,10.55749,0.49661
351,3.51000,3.07776,10.56057,0.49918
352,3.52000,3.08574,10.56365,0.50176
353,3.53000,3.09372,10.56674,0.50435
354,3.54000,3.10170,10.56984,0.50694
355,3.55000,3.10967,10.57294,0.50954
356,3.56000,3.11764,10.57606,0.51214
357,3.57000,3.12561,10.57918,0.51475
358,3.58000,3.13358,10.58231,0.51736
359,3.59000,3.14154,10.58545,0.51998
360,3.60000,3.14951,10.58859,0.52261
361,3.61000,3.15747,10.59174,0.52524
362,3.62000,3.16542,10.59491,0.52787
363,3.63000,3.17338,10.59808,0.53051
364,3.64000,3.18133,10.60125,0.53316
365,3.65000,3.18929,10.60444,0.53581
366,3.66000,3.19724,10.60763,0.53846
367,3.67000,3.20518,10.61083,0.54112
368,3.68000,3.21313,10.61404,0.54379
369,3.69000,3.22107,10.61726,0.54646
370,3.70000,3.22902,10.62048,0.54914
371,3.71000,3.23696,10.62372,0.55182
372,3.72000,3.24489,10.62696,0.55451
373,3.73000,3.25283,10.63021,0.55720
374,3.74000,3.26076,10.63346,0.55990
375,3.75000,3.26869,10.63673,0.56261
376,3.76000,3.27662,10.64000,0.56531
377,3.77000,3.28455,10.64328,0.56803
378,3.78000,3.29248,10.64657,0.57075
379,3.79000,3.30040,10.64987,0.57347
380,3.80000,3.30832,10.65317,0.57620
381,3.81000,3.31624,10.65648,0.57894
382,3.82000,3.32416,10.65980,0.58168
383,3.83000,3.33208,10.66313,0.58442
384,3.84000,3.33999,10.66647,0.58717
385,3.85000,3.34790,10.66981,0.58993
386,3.86000,3.35582,10.67316,0.59269
387,3.87000,3.36372,10.67652,0.59545
388,3.88000,3.37163,10.67989,0.59822
389,3.89000,3.37954,10.68327,0.60100
390,3.90000,3.38744,10.68665,0.60378
391,3.91000,3.39534,10.69004,0.60657
392,3.92000,3.40324,10.69344,0.60936
393,3.93000,3.41114,10.69685,0.61215
394,3.94000,3.41904,10.70026,0.61496
395,3.95000,3.42694,10.70369,0.61776
396,3.96000,3.43483,10.70712,0.62057
397,3.97000,3.44272,10.71056,0.62339
398,3.98000,3.45061,10.71400,0.62621
399,3.99000,3.45850,10.71746,0.62904
400,4.00000,3.46639,10.72092,0.63187
