x,y,value
0.00000,0.00000,0.01960
0.10000,0.00000,0.01980
0.20000,0.00000,0.02019
0.30000,0.00000,0.02076
0.40000,0.00000,0.02150
0.50000,0.00000,0.02240
0.60000,0.00000,0.02343
0.70000,0.00000,0.02456
0.80000,0.00000,0.02578
0.90000,0.00000,0.02703
1.00000,0.00000,0.02830
1.10000,0.00000,0.02955
1.20000,0.00000,0.03074
1.30000,0.00000,0.03185
1.40000,0.00000,0.03284
1.50000,0.00000,0.03369
1.60000,0.00000,0.03437
1.70000,0.00000,0.03486
1.80000,0.00000,0.03517
1.90000,0.00000,0.03529
2.00000,0.00000,0.03521
2.10000,0.00000,0.03494
2.20000,0.00000,0.03451
2.30000,0.00000,0.03393
2.39000,0.00000,0.03321
2.49000,0.00000,0.03239
2.59000,0.00000,0.03149
2.69000,0.00000,0.03052
2.79000,0.00000,0.02952
2.89000,0.00000,0.02849
2.99000,0.00000,0.02746
3.09000,0.00000,0.02644
3.19000,0.00000,0.02544
3.29000,0.00000,0.02446
3.39000,0.00000,0.02351
3.49000,0.00000,0.02258
3.59000,0.00000,0.02167
3.69000,0.00000,0.02077
3.79000,0.00000,0.01989
3.89000,0.00000,0.01901
3.99000,0.00000,0.01813
4.09000,0.00000,0.01725
4.19000,0.00000,0.01636
4.29000,0.00000,0.01547
4.39000,0.00000,0.01458
4.49000,0.00000,0.01369
4.59000,0.00000,0.01281
4.69000,0.00000,0.01195
4.79000,0.00000,0.01112
4.89000,0.00000,0.01032
4.99000,0.00000,0.00956
5.09000,0.00000,0.00890
5.19000,0.00000,0.00835
5.29000,0.00000,0.00790
5.39000,0.00000,0.00755
5.49000,0.00000,0.00730
5.59000,0.00000,0.00715
5.69000,0.00000,0.00711
5.79000,0.00000,0.00717
5.89000,0.00000,0.00731
5.99000,0.00000,0.00753
6.09000,0.00000,0.00782
6.19000,0.00000,0.00816
6.29000,0.00000,0.00854
6.39000,0.00000,0.00894
6.49000,0.00000,0.00935
6.59000,0.00000,0.00975
6.69000,0.00000,0.01012
6.79000,0.00000,0.01045
6.89000,0.00000,0.01074
6.99000,0.00000,0.01096
7.09000,0.00000,0.01110
7.19000,0.00000,0.01117
7.29000,0.00000,0.01116
7.39000,0.00000,0.01106
7.49000,0.00000,0.01088
7.59000,0.00000,0.01061
7.69000,0.00000,0.01027
7.79000,0.00000,0.00987
7.89000,0.00000,0.00940
7.99000,0.00000,0.00888
8.09000,0.00000,0.00833
8.19000,0.00000,0.00774
8.29000,0.00000,0.00714
8.39000,0.00000,0.00654
8.49000,0.00000,0.00594
8.59000,0.00000,0.00535
8.69000,0.00000,0.00479
8.79000,0.00000,0.00425
8.89000,0.00000,0.00375
8.99000,0.00000,0.00329
9.09000,0.00000,0.00288
9.19000,0.00000,0.00250
9.29000,0.00000,0.00218
9.39000,0.00000,0.00190
9.50000,0.00000,0.00167
9.60000,0.00000,0.00148
9.70000,0.00000,0.00134
9.80000,0.00000,0.00125
9.90000,0.00000,0.00120
0.00000,0.10000,0.01963
0.10000,0.10000,0.01983
0.20000,0.10000,0.02021
0.30000,0.10000,0.02078
0.40000,0.10000,0.02152
0.50000,0.10000,0.02241
0.60000,0.10000,0.02343
0.70000,0.10000,0.02455
0.80000,0.10000,0.02575
0.90000,0.10000,0.02699
1.00000,0.10000,0.02825
1.10000,0.10000,0.02949
1.20000,0.10000,0.03067
1.30000,0.10000,0.03177
1.40000,0.10000,0.03275
1.50000,0.10000,0.03359
1.60000,0.10000,0.03426
1.70000,0.10000,0.03476
1.80000,0.10000,0.03506
1.90000,0.10000,0.03518
2.00000,0.10000,0.03510
2.10000,0.10000,0.03484
2.20000,0.10000,0.03442
2.30000,0.10000,0.03384
2.39000,0.10000,0.03313
2.49000,0.10000,0.03232
2.59000,0.10000,0.03142
2.69000,0.10000,0.03046
2.79000,0.10000,0.02947
2.89000,0.10000,0.02845
2.99000,0.10000,0.02743
3.09000,0.10000,0.02642
3.19000,0.10000,0.02543
3.29000,0.10000,0.02446
3.39000,0.10000,0.02351
3.49000,0.10000,0.02259
3.59000,0.10000,0.02169
3.69000,0.10000,0.02080
3.79000,0.10000,0.01992
3.89000,0.10000,0.01905
3.99000,0.10000,0.01818
4.09000,0.10000,0.01731
4.19000,0.10000,0.01643
4.29000,0.10000,0.01554
4.39000,0.10000,0.01465
4.49000,0.10000,0.01377
4.59000,0.10000,0.01289
4.69000,0.10000,0.01203
4.79000,0.10000,0.01120
4.89000,0.10000,0.01039
4.99000,0.10000,0.00963
5.09000,0.10000,0.00897
5.19000,0.10000,0.00841
5.29000,0.10000,0.00795
5.39000,0.10000,0.00759
5.49000,0.10000,0.00734
5.59000,0.10000,0.00718
5.69000,0.10000,0.00713
5.79000,0.10000,0.00718
5.89000,0.10000,0.00731
5.99000,0.10000,0.00752
6.09000,0.10000,0.00780
6.19000,0.10000,0.00814
6.29000,0.10000,0.00851
6.39000,0.10000,0.00890
6.49000,0.10000,0.00930
6.59000,0.10000,0.00970
6.69000,0.10000,0.01007
6.79000,0.10000,0.01040
6.89000,0.10000,0.01068
6.99000,0.10000,0.01090
7.09000,0.10000,0.01105
7.19000,0.10000,0.01112
7.29000,0.10000,0.01111
7.39000,0.10000,0.01102
7.49000,0.10000,0.01084
7.59000,0.10000,0.01058
7.69000,0.10000,0.01025
7.79000,0.10000,0.00985
7.89000,0.10000,0.00939
7.99000,0.10000,0.00888
8.09000,0.10000,0.00833
8.19000,0.10000,0.00775
8.29000,0.10000,0.00716
8.39000,0.10000,0.00656
8.49000,0.10000,0.00596
8.59000,0.10000,0.00538
8.69000,0.10000,0.00482
8.79000,0.10000,0.00429
8.89000,0.10000,0.00379
8.99000,0.10000,0.00333
9.09000,0.10000,0.00291
9.19000,0.10000,0.00254
9.29000,0.10000,0.00221
9.39000,0.10000,0.00193
9.50000,0.10000,0.00170
9.60000,0.10000,0.00151
9.70000,0.10000,0.00137
9.80000,0.10000,0.00128
9.90000,0.10000,0.00123
0.00000,0.20000,0.01969
0.10000,0.20000,0.01989
0.20000,0.20000,0.02027
0.30000,0.20000,0.02082
0.40000,0.20000,0.02155
0.50000,0.20000,0.02242
0.60000,0.20000,0.02342
0.70000,0.20000,0.02452
0.80000,0.20000,0.02569
0.90000,0.20000,0.02692
1.00000,0.20000,0.02815
1.10000,0.20000,0.02937
1.20000,0.20000,0.03053
1.30000,0.20000,0.03161
1.40000,0.20000,0.03257
1.50000,0.20000,0.03339
1.60000,0.20000,0.03406
1.70000,0.20000,0.03455
1.80000,0.20000,0.03485
1.90000,0.20000,0.03497
2.00000,0.20000,0.03489
2.10000,0.20000,0.03464
2.20000,0.20000,0.03422
2.30000,0.20000,0.03366
2.39000,0.20000,0.03296
2.49000,0.20000,0.03217
2.59000,0.20000,0.03128
2.69000,0.20000,0.03034
2.79000,0.20000,0.02936
2.89000,0.20000,0.02836
2.99000,0.20000,0.02736
3.09000,0.20000,0.02637
3.19000,0.20000,0.02539
3.29000,0.20000,0.02444
3.39000,0.20000,0.02351
3.49000,0.20000,0.02260
3.59000,0.20000,0.02172
3.69000,0.20000,0.02085
3.79000,0.20000,0.01999
3.89000,0.20000,0.01913
3.99000,0.20000,0.01828
4.09000,0.20000,0.01742
4.19000,0.20000,0.01655
4.29000,0.20000,0.01567
4.39000,0.20000,0.01480
4.49000,0.20000,0.01392
4.59000,0.20000,0.01304
4.69000,0.20000,0.01218
4.79000,0.20000,0.01135
4.89000,0.20000,0.01054
4.99000,0.20000,0.00977
5.09000,0.20000,0.00910
5.19000,0.20000,0.00853
5.29000,0.20000,0.00806
5.39000,0.20000,0.00769
5.49000,0.20000,0.00741
5.59000,0.20000,0.00724
5.69000,0.20000,0.00717
5.79000,0.20000,0.00720
5.89000,0.20000,0.00732
5.99000,0.20000,0.00751
6.09000,0.20000,0.00777
6.19000,0.20000,0.00809
6.29000,0.20000,0.00845
6.39000,0.20000,0.00883
6.49000,0.20000,0.00922
6.59000,0.20000,0.00961
6.69000,0.20000,0.00997
6.79000,0.20000,0.01030
6.89000,0.20000,0.01058
6.99000,0.20000,0.01080
7.09000,0.20000,0.01095
7.19000,0.20000,0.01102
7.29000,0.20000,0.01102
7.39000,0.20000,0.01094
7.49000,0.20000,0.01077
7.59000,0.20000,0.01053
7.69000,0.20000,0.01021
7.79000,0.20000,0.00982
7.89000,0.20000,0.00938
7.99000,0.20000,0.00888
8.09000,0.20000,0.00834
8.19000,0.20000,0.00778
8.29000,0.20000,0.00720
8.39000,0.20000,0.00661
8.49000,0.20000,0.00602
