x,y,value
0.00000,0.00000,0.01139
0.10000,0.00000,0.01140
0.20000,0.00000,0.01144
0.30000,0.00000,0.01148
0.40000,0.00000,0.01154
0.50000,0.00000,0.01162
0.60000,0.00000,0.01170
0.70000,0.00000,0.01180
0.80000,0.00000,0.01190
0.90000,0.00000,0.01201
1.00000,0.00000,0.01213
1.10000,0.00000,0.01225
1.20000,0.00000,0.01236
1.30000,0.00000,0.01248
1.40000,0.00000,0.01259
1.50000,0.00000,0.01270
1.60000,0.00000,0.01280
1.70000,0.00000,0.01290
1.80000,0.00000,0.01298
1.90000,0.00000,0.01306
2.00000,0.00000,0.01312
2.10000,0.00000,0.01317
2.20000,0.00000,0.01321
2.30000,0.00000,0.01324
2.39000,0.00000,0.01326
2.49000,0.00000,0.01326
2.59000,0.00000,0.01326
2.69000,0.00000,0.01324
2.79000,0.00000,0.01322
2.89000,0.00000,0.01319
2.99000,0.00000,0.01315
3.09000,0.00000,0.01310
3.19000,0.00000,0.01305
3.29000,0.00000,0.01300
3.39000,0.00000,0.01294
3.49000,0.00000,0.01288
3.59000,0.00000,0.01282
3.69000,0.00000,0.01276
3.79000,0.00000,0.01270
3.89000,0.00000,0.01265
3.99000,0.00000,0.01259
4.09000,0.00000,0.01253
4.19000,0.00000,0.01248
4.29000,0.00000,0.01243
4.39000,0.00000,0.01238
4.49000,0.00000,0.01234
4.59000,0.00000,0.01230
4.69000,0.00000,0.01225
4.79000,0.00000,0.01220
4.89000,0.00000,0.01212
4.99000,0.00000,0.01200
5.09000,0.00000,0.01196
5.19000,0.00000,0.01193
5.29000,0.00000,0.01191
5.39000,0.00000,0.01189
5.49000,0.00000,0.01188
5.59000,0.00000,0.01187
5.69000,0.00000,0.01187
5.79000,0.00000,0.01186
5.89000,0.00000,0.01187
5.99000,0.00000,0.01187
6.09000,0.00000,0.01188
6.19000,0.00000,0.01189
6.29000,0.00000,0.01191
6.39000,0.00000,0.01194
6.49000,0.00000,0.01197
6.59000,0.00000,0.01200
6.69000,0.00000,0.01205
6.79000,0.00000,0.01210
6.89000,0.00000,0.01216
6.99000,0.00000,0.01223
7.09000,0.00000,0.01231
7.19000,0.00000,0.01240
7.29000,0.00000,0.01250
7.39000,0.00000,0.01261
7.49000,0.00000,0.01273
7.59000,0.00000,0.01286
7.69000,0.00000,0.01301
7.79000,0.00000,0.01316
7.89000,0.00000,0.01333
7.99000,0.00000,0.01350
8.09000,0.00000,0.01369
8.19000,0.00000,0.01388
8.29000,0.00000,0.01408
8.39000,0.00000,0.01428
8.49000,0.00000,0.01448
8.59000,0.00000,0.01469
8.69000,0.00000,0.01490
8.79000,0.00000,0.01510
8.89000,0.00000,0.01530
8.99000,0.00000,0.01549
9.09000,0.00000,0.01566
9.19000,0.00000,0.01583
9.29000,0.00000,0.01598
9.39000,0.00000,0.01612
9.50000,0.00000,0.01623
9.60000,0.00000,0.01632
9.70000,0.00000,0.01640
9.80000,0.00000,0.01644
9.90000,0.00000,0.01647
0.00000,0.10000,0.01138
0.10000,0.10000,0.01140
0.20000,0.10000,0.01143
0.30000,0.10000,0.01148
0.40000,0.10000,0.01154
0.50000,0.10000,0.01161
0.60000,0.10000,0.01170
0.70000,0.10000,0.01180
0.80000,0.10000,0.01190
0.90000,0.10000,0.01201
1.00000,0.10000,0.01213
1.10000,0.10000,0.01224
1.20000,0.10000,0.01236
